0,1
account_id,8f913d8d-512c-49ca-b54d-053069d00c96
account_number,xxxxxxxxxx
status,ACTIVE
crypto_status,ACTIVE
currency,USD
buying_power,1705044.92
regt_buying_power,1705044.92
daytrading_buying_power,0
non_marginable_buying_power,850522.46
cash,707676.96
accrued_fees,0
pending_transfer_out,
pending_transfer_in,
portfolio_value,997367.96
pattern_day_trader,False
trading_blocked,False
transfers_blocked,False
account_blocked,False
created_at,2024-12-11 18:39:32.766162+00:00
trade_suspended_by_user,False
multiplier,2
shorting_enabled,True
equity,997367.96
last_equity,999278.96
long_market_value,289691
short_market_value,0
initial_margin,144845.5
maintenance_margin,86907.3
last_maintenance_margin,87480.6
sma,928697.96
daytrade_count,0
options_buying_power,910460.66
options_approved_level,2
options_trading_level,2
